animations,date_debut,date_fin,organisateur,lieu_1,yd,md,dd,yf,mf,df,yearmonth,duration
bain du jour de l'an,2019-01-01,2019-01-01,day one,plage de la salis,2019,1,1,2019,1,1,2019-1,0
sélection départementale performance et fédérale de gym,2019-01-12,2019-01-12,oajlp gymnastique,salle pierre brochard,2019,1,12,2019,1,12,2019-1,0
galette des rois,2019-01-12,2019-01-12,roller skate club d'antibes,criée florale,2019,1,12,2019,1,12,2019-1,0
village ogc nice,2019-01-16,2019-01-16,ogc nice,esplanade de la gravette,2019,1,16,2019,1,16,2019-1,0
ski voile,2019-01-16,2019-01-20,société des régates d'antibes,port gallice,2019,1,16,2019,1,20,2019-1,4
souvenir ange rovillo,2019-01-20,2019-01-20,antibes vélo passion,parking du ponteil,2019,1,20,2019,1,20,2019-1,0
challenge interdépartemental de sarbacanne,2019-01-23,2019-01-23,handisport antibes méditerranée,salle saint claude,2019,1,23,2019,1,23,2019-1,0
tournoi interclub et départemental jeunes,2019-01-25,2019-01-25,badminton club d'antibes,gymnase de la fontonne,2019,1,25,2019,1,25,2019-1,0
sélection départementale performance et fédérale de gym,2019-01-26,2019-01-26,oajlp gymnastique,salle pierre brochard,2019,1,26,2019,1,26,2019-1,0
championnat côte d'azur en double de chasse sous-marine,2019-01-26,2019-01-26,comité départemental de chasse sous-marine,plage keller,2019,1,26,2019,1,26,2019-1,0
régate optimist,2019-01-26,2019-01-27,société des régates d'antibes,plage de la salis,2019,1,26,2019,1,27,2019-1,1
championnat départemental twirling bâton,2019-01-26,2019-01-27,antibes twirling,azurarena antibes,2019,1,26,2019,1,27,2019-1,1
rassemblement ffct,2019-01-27,2019-01-27,olympique cyclo club d'antibes,esplanade jean moulin,2019,1,27,2019,1,27,2019-1,0
stage de yoga,2019-01-27,2019-01-27,institut français de yoga provence alpes côte d'azur,salles polyvalentes des croûtons,2019,1,27,2019,1,27,2019-1,0
top 12 gym,2019-02-02,2019-02-02,oajlp gymnastique,salle saint claude,2019,2,2,2019,2,2,2019-2,0
nuit du hand,2019-02-09,2019-02-09,oajlp handball,salle saint claude,2019,2,9,2019,2,9,2019-2,0
rassemblement cycliste,2019-02-10,2019-02-10,vélo club antibois,parvis de la chapelle de la garoupe,2019,2,10,2019,2,10,2019-2,0
top 12 gym,2019-02-16,2019-02-16,oajlp gymnastique,salle saint claude,2019,2,16,2019,2,16,2019-2,0
regroupement masters plus de 50 ans (hommes et femmes),2019-02-22,2019-02-23,asf antibes hockey,stade de la fontonne,2019,2,22,2019,2,23,2019-2,1
rassemblement edf féminine de hockey,2019-02-25,2019-03-01,asf antibes hockey,stade de la fontonne,2019,2,25,2019,3,1,2019-2,4
stage de yoga,2019-03-03,2019-03-03,institut français de yoga provence alpes côte d'azur,salles polyvalentes des croûtons,2019,3,3,2019,3,3,2019-3,0
trophée chardonneau loisir seniors,2019-03-16,2019-03-16,école d'escrime d'antibes,salle saint claude,2019,3,16,2019,3,16,2019-3,0
tournoi des papys,2019-03-16,2019-03-17,badminton club d'antibes,gymnase de la fontonne,2019,3,16,2019,3,17,2019-3,1
