COMMUNE_NOM,COLL_SIRET,ANIMATIONS,DATE DEBUT,DATE FIN,ORGANISATEUR,LIEU 1,LIEU 2,LIEU 3
Antibes,21060004500012,bain du jour de l'an,2019-01-01,2019-01-01,Day one,Plage de la Salis,,
Antibes,21060004500012,Sélection Départementale Performance et Fédérale de Gym ,2019-01-12,2019-01-12,OAJLP Gymnastique ,Salle Pierre Brochard,,
Antibes,21060004500012,galette des rois,2019-01-12,2019-01-12,Roller Skate Club d'Antibes,Criée florale,,
Antibes,21060004500012,Village OGC Nice,2019-01-16,2019-01-16,OGC Nice,Esplanade de la Gravette ,,
Antibes,21060004500012,Souvenir Ange Rovillo,2019-01-20,2019-01-20,Antibes vélo passion,Parking du ponteil,,
Antibes,21060004500012,Challenge Interdépartemental de Sarbacanne,2019-01-23,2019-01-23,Handisport Antibes Méditerranée,Salle Saint Claude,,
Antibes,21060004500012,Tournoi Interclub et départemental jeunes ,2019-01-25,2019-01-25,Badminton Club d'Antibes,Gymnase de la Fontonne,,
Antibes,21060004500012,Sélection Départementale Performance et Fédérale de Gym ,2019-01-26,2019-01-26,OAJLP Gymnastique ,Salle Pierre Brochard,,
Antibes,21060004500012,Championnat Côte d'Azur en Double de Chasse sous-marine,2019-01-26,2019-01-26,Comité Départemental de Chasse sous-marine,Plage Keller,,
Antibes,21060004500012,Ski voile,2019-01-16,2019-01-20,Société des Régates d'Antibes,Port Gallice,,
Antibes,21060004500012,Régate Optimist ,2019-01-26,2019-01-27,Société des Régates d'Antibes,Plage de la Salis,,
Antibes,21060004500012,Championnat départemental Twirling Bâton ,2019-01-26,2019-01-27,Antibes Twirling,Azurarena Antibes,,
Antibes,21060004500012,Rassemblement FFCT,2019-01-27,2019-01-27,Olympique Cyclo Club d'Antibes,Esplanade Jean Moulin,,
Antibes,21060004500012,Stage de YOGA,2019-01-27,2019-01-27,Institut Français de Yoga Provence Alpes Côte d'Azur,Salles Polyvalentes des Croûtons,,
Antibes,21060004500012,TOP 12 gym,2019-02-02,2019-02-02,OAJLP Gymnastique ,Salle Saint Claude,,
Antibes,21060004500012,Nuit du Hand,2019-02-09,2019-02-09,OAJLP Handball,Salle Saint Claude,,
Antibes,21060004500012,Rassemblement Cycliste ,2019-02-10,2019-02-10,Vélo Club Antibois,Parvis de la Chapelle de la Garoupe,,
Antibes,21060004500012,TOP 12 gym,2019-02-16,2019-02-16,OAJLP Gymnastique ,Salle Saint Claude,,
Antibes,21060004500012,Regroupement Masters plus de 50 ans (hommes et femmes),2019-02-22,2019-02-23,ASF Antibes Hockey,Stade Fontonne N°3,,
Antibes,21060004500012,Rassemblement EDF Féminine de Hockey,2019-02-25,2019-03-01,ASF Antibes Hockey,Stade Fontonne N°3,,
