COMMUNE_NOM,COLL_INSEE,ENFANT_SEXE,ENFANT_PRENOM,NOMBRE_OCCURRENCES,ANNEE
Antibes,06004,F,Lina,14,2011
Antibes,06004,M,Hugo,11,2011
Antibes,06004,F,Maëlys,10,2011
Antibes,06004,M,Yassine,10,2011
Antibes,06004,F,Inès,8,2011
Antibes,06004,F,Léa,8,2011
Antibes,06004,M,Adam,8,2011
Antibes,06004,M,Sacha,8,2011
Antibes,06004,F,Chloé,7,2011
Antibes,06004,M,Maxime,7,2011
Antibes,06004,M,Théo,7,2011
Antibes,06004,F,Emma,6,2011
Antibes,06004,F,Manon,6,2011
Antibes,06004,F,Sarah,6,2011
Antibes,06004,M,Ayoub,6,2011
Antibes,06004,M,Enzo,6,2011
Antibes,06004,M,Jules,6,2011
Antibes,06004,M,Mattéo,6,2011
Antibes,06004,M,Nathan,6,2011
Antibes,06004,F,Kenza,5,2011
Antibes,06004,F,Lola,5,2011
Antibes,06004,F,Nour,5,2011
Antibes,06004,M,Adem,5,2011
Antibes,06004,M,Gabriel,5,2011
Antibes,06004,M,Kylian,5,2011
Antibes,06004,M,Mohamed,5,2011
Antibes,06004,M,Noé,5,2011
Antibes,06004,M,Tom,5,2011
Antibes,06004,F,Alice,4,2011
Antibes,06004,F,Chiara,4,2011
Antibes,06004,F,Stella,4,2011
Antibes,06004,F,Victoria,4,2011
Antibes,06004,F,Yasmine,4,2011
Antibes,06004,M,Aaron,4,2011
Antibes,06004,M,Ahmed,4,2011
Antibes,06004,M,Alexandre,4,2011
Antibes,06004,M,Amine,4,2011
Antibes,06004,M,Amir,4,2011
Antibes,06004,M,Diego,4,2011
Antibes,06004,M,Éthan,4,2011
Antibes,06004,M,Evan,4,2011
Antibes,06004,M,Ilyes,4,2011
Antibes,06004,M,Lucas,4,2011
Antibes,06004,M,Noah,4,2011
Antibes,06004,M,Raphaël,4,2011
Antibes,06004,M,Rayan,4,2011
Antibes,06004,M,Timéo,4,2011
Antibes,06004,F,Ambre,3,2011
Antibes,06004,F,Anna,3,2011
Antibes,06004,F,Assia,3,2011
Antibes,06004,F,Clara,3,2011
Antibes,06004,F,Emy,3,2011
Antibes,06004,F,Ines,3,2011
Antibes,06004,F,Julia,3,2011
Antibes,06004,F,Justine,3,2011
Antibes,06004,F,Laura,3,2011
Antibes,06004,F,Lena,3,2011
Antibes,06004,F,Lisa,3,2011
Antibes,06004,F,Louna,3,2011
Antibes,06004,F,Lyna,3,2011
Antibes,06004,F,Maelys,3,2011
Antibes,06004,F,Myriam,3,2011
Antibes,06004,F,Nina,3,2011
Antibes,06004,F,Sofia,3,2011
Antibes,06004,F,Tess,3,2011
Antibes,06004,M,Ange,3,2011
Antibes,06004,M,Arthur,3,2011
Antibes,06004,M,Axel,3,2011
Antibes,06004,M,Dylan,3,2011
Antibes,06004,M,Iyed,3,2011
Antibes,06004,M,Johan,3,2011
Antibes,06004,M,Kamil,3,2011
Antibes,06004,M,Lenny,3,2011
Antibes,06004,M,Léo,3,2011
Antibes,06004,M,Liam,3,2011
Antibes,06004,M,Loan,3,2011
Antibes,06004,M,Lorenzo,3,2011
Antibes,06004,M,Loris,3,2011
Antibes,06004,M,Louca,3,2011
Antibes,06004,M,Malik,3,2011
Antibes,06004,M,Mathéo,3,2011
Antibes,06004,M,Matteo,3,2011
Antibes,06004,M,Maxence,3,2011
Antibes,06004,M,Mylan,3,2011
Antibes,06004,M,Noa,3,2011
Antibes,06004,M,Olivier,3,2011
Antibes,06004,M,Paul,3,2011
